National_Forest,Year,Quarter,Product,Species,Sold_Volume_MBF,Sold_Volume_CCF,Sold_Value,Sold_per_MBF,Sold_per_CCF,Cut_Volume_MBF,Cut_Volume_CCF,Cut_Value
Okanogan-Wenatchee,2010.00,1.00,Poles,Softwood Other,13.64,26.22,532.00,39.00,20.29,14.62,28.12,551.00
Willamette,2010.00,1.00,Sawtimber,Douglas-fir,12247.70,22046.41,701753.13,57.30,31.83,14514.89,26941.79,305650.44
Willamette,2010.00,1.00,Sawtimber,Douglas-fir-Westside,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-78744.48
Willamette,2010.00,1.00,Sawtimber,Grand Fir,0.00,0.00,0.00,0.00,0.00,0.98,1.84,5.52
Willamette,2010.00,1.00,Sawtimber,Western Hemlock,0.00,0.00,0.00,0.00,0.00,326.74,616.28,-4598.17
Willamette,2010.00,1.00,Sawtimber,Incense Cedar,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.58
Willamette,2010.00,1.00,Sawtimber,Noble Fir,0.00,0.00,0.00,0.00,0.00,14.10,26.55,79.65
Willamette,2010.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,102.09,201.74,2002.82
Willamette,2010.00,1.00,Sawtimber,Pacific Silver Fir,0.00,0.00,0.00,0.00,0.00,1.50,2.81,11.23
Willamette,2010.00,1.00,Sawtimber,Western Red Cedar,8.75,16.82,503.50,57.54,29.93,6.20,11.67,-181.72
Willamette,2010.00,1.00,Sawtimber,Specified Road Charges,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11624.02
Willamette,2010.00,1.00,Sawtimber,Sitka Spruce,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.72
Willamette,2010.00,1.00,Sawtimber,White Fir,0.00,0.00,0.00,0.00,0.00,0.01,0.02,-246.44
Willamette,2010.00,1.00,Sawtimber,Western White Pine,0.00,0.00,0.00,0.00,0.00,0.01,0.02,-18.87
Willamette,2010.00,1.00,Sawtimber,Softwood Other,0.00,0.00,0.00,0.00,0.00,2130.27,4095.89,169938.48
Willamette,2010.00,1.00,Poles,Douglas-fir,0.31,0.60,20.00,64.52,33.33,0.62,1.20,20.00
Willamette,2010.00,1.00,Poles,Western Red Cedar,1.32,2.55,85.00,64.39,33.33,0.31,0.60,20.00
Willamette,2010.00,1.00,Posts,Douglas-fir,0.00,0.00,0.00,0.00,0.00,1.04,2.00,20.00
Willamette,2010.00,1.00,Posts,Western Red Cedar,0.52,1.00,20.00,38.46,20.00,1.30,2.50,80.00
Willamette,2010.00,1.00,Posts,Hardwood Other,0.00,0.00,0.00,0.00,0.00,0.52,1.00,20.00
Colville,2010.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,6301.86,12126.78,501827.99
Colville,2010.00,1.00,Sawtimber,Engelmann Spruce,0.00,0.00,0.00,0.00,0.00,25.62,48.21,5261.15
Colville,2010.00,1.00,Sawtimber,Grand Fir,0.00,0.00,0.00,0.00,0.00,980.75,1838.79,42195.39
Colville,2010.00,1.00,Sawtimber,Western Hemlock,0.00,0.00,0.00,0.00,0.00,0.09,0.17,0.51
Colville,2010.00,1.00,Sawtimber,Lodgepole Pine,0.00,0.00,0.00,0.00,0.00,1258.66,2413.27,135893.98
